protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P50580,809660000,597940000,741730000,268650000,224480000,46003000
P51150,941540000,1181700000,910940000,754690000,658810000,820980000
P51174,2826700000,2026100000,2639800000,3017999999.9999995,3418999999.9999995,4448700000
P51410,895510000,858750000,994710000,436290000,420250000,494670000
P51658,1379700000,1391500000,1716899999.9999998,133890000,122710000,154840000
P51660,5557600000,7151099999.999999,6830499999.999999,8752400000,11857000000,8931300000
P51855,52473000,115320000,98899000,63229000,85498000,105010000
P51859,115750000,178070000,159010000,22833000,19084000,39450000
P51863,161720000,80874000,54587000,NA,NA,NA
P51881,19891000000,20650000000,20332000000,11053000000,13681000000,11380000000
P51885;CON__Q05443,1325100000,1317000000,1538499999.9999998,1358200000,1020700000,1202100000
P52196,7145199999.999999,6206299999.999999,7122399999.999999,2729600000,3663199999.999999,3453799999.9999995
P52430,786400000,635780000,934270000,316470000,152410000,277130000
P52479,49950000,44103000,NA,NA,53824000,54103000
P52480,89186000,66690000,99946000,NA,85062000,23561000
P52503,453780000,677980000,491920000,255830000,334270000,455160000
P52760,4557000000,4344300000,5514200000,3625899999.999999,3804199999.999999,3714899999.999999
P52792,184020000,54264000,78350000,226750000,185470000,373250000
P52825,1118500000,1370200000,1697099999.9999998,2118000000,1841400000,1849900000
P52840,194280000,360610000,448180000,119530000,97351000,95689000
P53026,1571499999.9999998,1045600000,889730000,962210000,1057100000,718200000
P53395,725760000,965760000,888200000,542170000,508750000,531970000
P53657,2654100000,2647600000,2945999999.9999995,2911200000,2907800000,3267099999.9999995
P53810,45568000,143000000,NA,51577000,34505000,59804000
P53986,NA,NA,NA,73582000,60226000,84319000
P53994;P59279,378850000,240280000,311560000,121230000,80630000,63134000
P54071,1870300000,1525799999.9999998,1408700000,922790000,1341700000,1371900000
P54116,NA,38393000,NA,62025000,68363000,21765000
P54320,8518199999.999999,6241599999.999999,9018600000,8006799999.999999,9344300000,7333399999.999999
P54728;P54726,315500000,251980000,403170000,404640000,225120000,564580000
P54729,NA,NA,26561000,NA,10118000,NA
P54775,110930000,126490000,123780000,47461000,223460000,253020000
P54823,342510000,573570000,1195800000,592770000,1000200000,744920000
P54869,25465000000,26558000000,26027000000,36358000000,37737000000,38904000000
P55050,NA,NA,NA,442060000,305080000,112480000
P55096,2959099999.9999995,3009599999.9999995,2821900000,4652900000,5389400000,4147699999.999999
P55258;Q9DD03;P61028;Q8K386,173290000,50766000,189820000,110520000,110920000,102740000
P55264,2530800000,2962399999.9999995,3798799999.999999,1818000000,1973200000,1503299999.9999998
P56135,792690000,1115500000,660710000,954270000,792030000,738720000
P56391,389050000,349620000,331820000,144160000,193550000,141420000
P56395,10183000000,14009000000,14275000000,12401000000,13800000000,13143000000
P56399,NA,43874000,39527000,NA,NA,9360800
P56480,56635000000,56830000000,54589000000,40590000000,42168000000,43969000000
P56546,NA,22678000,NA,19663000,NA,NA
P56565,39904000,NA,NA,109500000,NA,NA
P56593,1563699999.9999998,2128300000,1622699999.9999998,1228000000,1644299999.9999998,1396200000
P56654;P56655,2517500000,1755899999.9999998,2193200000,132420000,622040000,575600000
P56657,773640000,949730000,1201000000,153170000,NA,NA
P56812,NA,NA,173490000,40379000,58696000,27225000
P56959,1442900000,1790999999.9999998,1800599999.9999998,3596099999.9999995,3845099999.999999,3770399999.999999
P57759,76048000,38635000,99581000,NA,56498000,36832000
P57776,674850000,797970000,748350000,696370000,868530000,595310000
P57780,2786300000,2393300000,2790400000,1321900000,1931200000,891470000
P57784,102560000,97671000,90806000,31663000,NA,22017000
P58044,48143000,54466000,105420000,NA,28568000,33241000
P58137,NA,NA,NA,47507000,NA,14942000
P58252,3109099999.9999995,3021799999.9999995,2466600000,1990500000,1390900000,1624699999.9999998
P58281,218490000,297060000,223010000,107780000,136940000,NA
P58710,1955600000,1458999999.9999998,2818200000,869730000,1483899999.9999998,9424700000
P58735,50710000,107640000,50213000,5657800,9677300,NA
P58771,NA,NA,NA,NA,NA,51146000
P59017,NA,NA,NA,NA,87426000,54437000
P59242,2565300000,2067400000,2177300000,2600200000,3015899999.9999995,2946499999.9999995
P59325,155110000,181570000,91615000,50611000,NA,NA
P59708,92839000,88101000,82042000,NA,NA,27864000
P59913,NA,42017000,26824000,78013000,83683000,58861000
P59999,24887000,NA,NA,NA,78884000,NA
P60122,190390000,113210000,146840000,31658000,85504000,108290000
P60229,93760000,NA,NA,94052000,105780000,100840000
P60335;P57724,3450799999.9999995,1749499999.9999998,2206300000,3530799999.9999995,3686399999.999999,4924100000
P60670,24757000,48318000,NA,32744000,30372000,57070000
P60710,60227000000,61746000000,63566000000,44145000000,43994000000,43389000000
P60843,2385000000,3115599999.9999995,3077299999.9999995,865420000,1159400000,1055800000
P60867,1210800000,1638599999.9999998,1458099999.9999998,816930000,671600000,698510000
P61021,26208000,35240000,29920000,NA,NA,33933000
P61022,NA,19552000,21395000,NA,19810000,NA
P61027,162050000,163780000,143210000,24209000,NA,13567000
P61089,316590000,141460000,272610000,107450000,152550000,118480000
P61161,NA,197390000,NA,NA,NA,59518000
P61164;Q8R5C5,NA,47164000,34760000,26344000,NA,21057000
P61205;P84078;Q8BSL7,960190000,1058700000,1103200000,828130000,500670000,657770000
P61211,137170000,217560000,151470000,101670000,84004000,90890000
P61222,175260000,83603000,NA,NA,NA,NA
P61255,661540000,589180000,1026800000,288210000,412690000,NA
P61358,370420000,420360000,302230000,NA,NA,NA
